record_id,age_years,income_value,tenure_months,monthly_spend,purchase_rate,order_value,promo_usage_rate,return_rate,browse_minutes,support_contacts,payment_channel,market_area
R47188,34,604.31,1,0.0,0.0,141.31,0.49,0.24,0.78,3,Channel_B,Area_A
R28234,21,14200.45,56,158.44,1.71,68.9,0.52,0.63,26.99,2,Channel_A,Area_A
R41083,70,96781.53,72,1184.5,20.2,0.0,0.28,0.13,73.89,0,Channel_C,Area_B
R00611,22,92746.14,72,,12.64,1.13,0.3,0.08,52.71,1,Channel_A,Area_A
R31314,49,68426.29,72,465.48,11.26,10.21,0.22,0.48,68.57,,Channel_A,Area_C
R19035,24,114201.58,72,496.11,9.75,17.35,0.2,,65.74,2,Channel_A,Area_A
R19444,63,,72,1026.02,20.65,0.0,0.0,0.16,130.17,2,Channel_A,Area_B
R27932,19,74656.06,72,582.39,11.54,5.61,0.32,0.06,46.5,3,Channel_A,Area_A
R36573,70,93520.55,72,374.17,14.25,1.23,0.0,0.06,28.76,0,Channel_B,Area_C
R16918,41,25472.29,21,127.19,3.27,62.76,0.25,0.15,85.09,1,Channel_A,Area_A
R47715,69,115984.89,72,1379.93,17.38,46.25,0.59,0.1,47.31,2,Channel_A,Area_B
R11684,52,1.66,1,5.27,0.0,73.99,0.28,0.29,,2,Channel_A,Area_B
R23067,49,0.0,1,1.05,0.02,155.99,0.44,0.09,0.0,0,Channel_C,Area_A
R49231,38,0.0,1,73.37,0.0,249.91,0.53,0.32,63.87,3,Channel_C,Area_B
R30282,51,25772.95,25,0.0,1.29,22.73,0.19,0.19,11.29,1,Channel_A,Area_B
R07060,36,,72,382.54,10.88,0.0,0.2,0.22,124.1,5,Channel_A,Area_B
R32755,35,64504.67,72,559.81,9.37,43.51,0.0,0.05,94.98,1,Channel_C,Area_A
R26687,55,309.06,1,0.0,0.0,108.72,0.48,0.08,22.2,1,Channel_A,Area_A
R47241,43,0.0,1,7.3,,177.6,0.46,0.15,25.83,0,Channel_A,Area_A
R20093,24,271.32,1,0.0,0.0,273.72,0.49,0.06,6.11,4,Channel_A,Area_A
R45065,30,0.0,18,288.91,0.92,137.02,0.48,0.33,22.64,0,Channel_A,Area_A
R10330,57,73420.64,72,338.5,7.19,10.87,0.55,0.04,67.56,2,Channel_C,Area_B
R44135,62,53292.26,72,406.8,14.72,1.62,0.11,0.22,100.76,4,Channel_A,Area_B
R37298,18,0.0,1,3.41,0.0,216.05,0.5,0.15,10.85,2,Channel_B,Area_A
R38953,29,58362.05,72,680.22,8.32,58.18,0.0,0.0,85.69,2,Channel_C,Area_B
R41011,36,98842.9,72,956.71,22.28,0.0,0.27,0.11,62.7,0,Channel_C,Area_A
R38802,38,56109.72,38,97.23,1.58,48.64,0.23,0.17,108.06,2,Channel_C,Area_B
R46356,20,1366.17,1,4.71,1.19,70.69,0.36,0.07,22.52,3,Channel_A,Area_C
R01253,28,,72,433.58,15.02,0.0,0.04,0.08,30.61,3,Channel_C,Area_B
R49698,60,138464.52,72,1507.1,19.35,39.54,0.0,0.2,47.33,1,Channel_C,Area_A
R22876,41,55988.05,72,700.8,16.91,5.81,0.13,0.07,25.31,4,Channel_A,Area_A
R06754,45,45744.12,2,50.86,0.43,61.1,0.53,0.11,36.78,,Channel_A,Area_A
R49064,55,25660.88,1,0.0,0.01,254.56,0.59,0.13,,3,Channel_A,Area_C
R08823,43,52850.32,22,142.34,0.01,160.43,0.13,0.12,66.51,3,Channel_A,Area_C
R32194,59,66119.6,61,462.45,7.21,50.91,0.1,0.1,33.58,0,Channel_B,Area_C
R16077,31,,1,220.44,0.06,258.15,0.53,0.19,0.82,2,Channel_B,Area_A
R10995,40,825.96,1,4.37,0.04,127.61,0.4,0.15,0.19,0,Channel_A,Area_C
R04727,39,845.89,1,0.0,0.0,141.43,0.41,0.08,57.71,1,Channel_B,Area_B
R19132,69,,72,1011.77,21.15,0.95,0.03,0.0,63.27,3,Channel_A,Area_B
R39058,63,0.0,1,4.28,0.0,168.29,0.2,0.24,25.29,0,Channel_C,Area_B
R45807,61,176449.54,72,1023.75,22.02,0.0,0.09,0.19,111.45,3,Channel_A,Area_A
R15522,51,,47,557.01,1.41,188.18,0.27,0.14,75.21,3,Channel_C,Area_A
R08935,22,1380.23,55,1.93,0.03,36.37,0.32,0.06,61.38,0,Channel_B,Area_C
R11865,44,0.0,1,119.97,4.93,89.79,0.51,0.2,46.26,,Channel_C,Area_A
R36816,45,56720.4,72,502.22,9.5,11.37,0.48,0.15,68.5,0,Channel_B,Area_C
R35811,59,,58,,0.0,46.25,0.15,0.03,81.94,1,Channel_B,Area_A
R44461,31,,72,535.02,9.42,27.63,0.31,0.0,41.93,1,Channel_A,Area_C
R30042,38,17417.02,28,122.14,0.59,81.58,0.31,0.09,,3,Channel_A,Area_C
R29901,39,0.0,1,3.28,0.02,157.55,0.45,0.17,0.0,2,Channel_A,Area_B
R49386,18,4536.33,1,240.54,5.73,56.69,0.14,,,1,Channel_B,Area_A
R18347,41,0.0,1,0.0,0.24,65.78,0.51,0.05,51.63,2,Channel_A,Area_B
R45552,68,4767.67,24,35.73,4.31,25.39,0.39,0.08,62.12,0,Channel_C,Area_B
R03172,20,27528.43,38,341.0,0.2,154.58,0.17,0.17,,1,Channel_C,Area_B
R12506,54,45135.07,55,212.22,0.49,116.22,0.11,0.18,,3,Channel_A,Area_B
R21484,55,487.91,1,1.89,2.08,61.85,0.29,0.17,102.81,1,Channel_A,Area_B
R42767,40,57906.22,1,,0.0,86.48,0.51,0.21,9.37,0,Channel_A,Area_C
R43189,48,2345.26,1,4.0,0.2,98.13,0.38,0.14,16.86,3,Channel_B,Area_B
R08714,25,52215.84,72,549.34,8.79,43.69,0.0,0.26,47.22,4,Channel_B,Area_B
R32717,32,0.0,1,1.97,0.0,177.55,0.47,0.1,67.57,2,Channel_A,Area_C
R09678,56,93271.05,72,410.42,11.3,0.19,,0.06,72.42,,Channel_A,Area_B
R49735,26,8837.43,1,17.39,6.51,20.46,0.26,0.16,47.32,2,Channel_A,Area_A
R13569,67,342.54,1,206.49,0.1,387.34,0.34,0.38,30.56,2,Channel_B,Area_C
R04779,43,76230.12,1,153.01,2.49,74.75,0.22,0.16,18.76,0,Channel_C,Area_A
R33845,29,123591.72,1,4.38,0.11,189.13,0.79,,21.17,2,Channel_A,Area_C
R23580,40,12037.79,53,61.35,0.9,74.85,0.29,0.12,35.37,3,Channel_C,Area_A
R29431,33,,72,1283.98,20.64,2.56,0.17,0.16,87.38,4,Channel_B,Area_A
R14866,69,102679.15,72,1048.59,27.36,0.0,0.22,0.24,128.02,2,Channel_A,Area_A
R30736,69,20224.57,2,348.12,5.75,53.88,0.35,0.05,51.88,0,Channel_C,Area_A
R45110,64,33080.33,1,145.79,0.0,313.04,0.47,0.4,,3,Channel_B,Area_A
R26775,36,45293.18,1,142.33,10.07,44.67,0.27,0.07,59.2,2,Channel_C,Area_C
R33242,24,101984.39,72,,,0.0,0.05,0.06,77.67,,Channel_C,Area_B
R10232,58,54470.67,72,708.07,,24.11,0.07,0.23,86.05,2,Channel_A,Area_C
R17037,22,17015.9,32,19.93,0.23,62.04,0.5,0.2,13.57,2,Channel_B,Area_A
R03265,68,0.0,1,1.26,0.03,151.44,0.46,0.31,25.18,3,Channel_A,Area_B
R24338,27,0.0,1,0.0,0.13,115.81,0.48,0.16,28.87,2,Channel_B,Area_C
R18411,53,0.0,1,300.52,0.07,249.67,0.4,0.07,13.81,1,Channel_A,Area_A
R43118,35,1451.17,1,0.0,0.0,199.6,0.37,0.08,6.92,,Channel_A,Area_A
R40802,23,14484.17,1,68.41,7.14,28.65,0.22,0.05,100.08,1,Channel_C,Area_B
R41182,48,47058.03,1,222.33,0.01,286.01,0.36,0.05,58.22,1,Channel_B,Area_C
R18121,69,0.0,1,0.0,0.09,57.22,0.44,0.45,37.59,1,Channel_C,Area_C
R41400,20,20307.17,3,72.28,3.79,47.85,0.27,0.66,55.61,3,Channel_A,Area_A
R43298,22,917.18,1,0.0,0.0,174.16,0.3,0.22,57.23,4,Channel_B,Area_B
R00842,33,75143.95,72,398.25,12.87,1.79,0.07,0.15,37.91,2,Channel_C,Area_A
R45904,22,14574.66,24,485.48,0.67,160.26,0.1,0.09,,1,Channel_B,Area_A
R44283,67,0.0,1,57.99,0.0,259.17,0.51,0.28,,2,Channel_A,Area_B
R04009,50,,1,0.0,0.0,115.89,0.5,0.11,71.16,4,Channel_C,Area_C
R10091,31,236.22,1,2.92,,130.36,0.38,0.12,56.05,0,Channel_A,Area_C
R41141,36,0.0,1,1.74,0.01,112.08,0.45,0.09,104.47,1,Channel_A,Area_C
R37914,43,86085.4,72,415.4,10.2,12.08,0.0,0.21,80.28,0,Channel_B,Area_A
R18627,31,71084.13,70,669.42,12.11,23.95,0.49,0.09,38.69,1,Channel_A,Area_A
R22787,20,0.0,1,0.0,0.05,152.49,0.3,0.23,85.04,3,Channel_A,Area_B
R41688,26,108978.76,72,1234.09,17.77,13.55,0.0,0.01,48.32,0,Channel_A,Area_C
R35539,29,37083.12,23,0.0,2.1,43.04,0.29,0.11,76.76,1,Channel_A,Area_A
R11213,67,8149.68,2,182.13,5.71,49.83,0.16,0.44,28.04,1,Channel_A,Area_A
R03741,29,15794.9,1,0.0,0.01,80.54,0.43,0.25,29.99,2,Channel_B,Area_A
R25767,68,28174.6,1,5.27,0.0,132.18,0.57,0.05,10.55,2,Channel_A,Area_C
R27157,51,163.79,1,30.2,0.0,246.88,0.5,0.22,98.24,,Channel_C,Area_B
R41494,62,26303.06,28,105.76,4.4,53.51,0.33,0.04,152.62,2,Channel_C,Area_A
R04723,58,143722.24,72,414.24,15.88,0.38,0.0,0.2,62.11,0,Channel_A,Area_B
R24785,22,0.0,1,0.0,0.0,166.46,0.22,0.13,29.02,6,Channel_B,Area_A
R06697,29,24335.35,13,7.16,6.61,30.88,0.33,,19.85,0,Channel_A,Area_C
R22631,55,7400.13,1,29.66,,36.51,0.54,0.11,,2,Channel_A,Area_A
R36589,39,98587.51,72,1084.32,20.52,0.0,0.03,0.02,,2,Channel_B,Area_A
R40119,45,318.43,1,4.45,,176.23,0.6,0.09,0.78,3,Channel_C,Area_C
R40179,37,59050.76,36,0.0,0.0,44.77,0.21,0.33,66.73,1,Channel_C,Area_B
